,Name,Email
0,Cantana                            GmbH,info@cantana.com
1,nice to meet me                            OG,mail@nicetomeetme.at
2,vervola                            GmbH,susanne@vervola.com
3,neu.land                            GmbH,hello@elamo.me
4,Celtic & Co.                            Ltd,kathrin.barnes@celticandco.com
5,We Are Knitters                            SL,sabrina@weareknitters.com
6,This Is Vegan - Plantbased Lifestyle Magazin                            Einzelunternehmen,info@this-is-vegan.com
7,ila·ila | FAIR CONCEPT STORE                            GmbH,info@ilaila.de
8,VorReiter                            Einzelunternehmen,isabel.salecker@vorreiter-reitsport.de
9,URBN STDIOS                            AG,hello@urbnc3.com
10,Fair Couture                            Einzelunternehmer,mail@faircouture.com
11,Nordgreen                             Aps,hallo@nordgreen.com
12,Barn Bux                            Einzelunternehmen,info@barnbux.de
13,Lunettes Selection                            Einzelunternehmen,info@lunettes-selection.de
14,Boob Design                            GmbH,shop@boobdesign.com
15,ecodog®                            Einzelunternehmen,nicole.kraft@ecodog.de
16,Yvonne Mankel Jewellery • Nachhaltiger Schmuck & Trauringe                            Einzelunternehmen,info@yvonnemankel.de
17,Baron Filou                            GmbH,office@baronfilou.com
18,Spirit of Island                            Einzelunternehmen,friends@spiritofisland.de
19,OH OH OM ethical sportswear                            Einzelunternehmen,ethicalsportswear@ohohom.com
20,Elkline                            GmbH,customerservice@elkline.de
21,GOT BAG                            GmbH,hello@got-bag.com
22,B KREB jewelry                            Einzelunternehmen,mail@bkreb.com
23,Unterwegs Outdoor Shop                            GmbH,shop@unterwegs.biz
24,Shop Like You Give a Damn                            B.V.,info@shoplikeyougiveadamn.com
25,Kulson                            GmbH,info@kulson.de
26,Wildling Shoes                            GmbH,https://www.wildling.shoes/pages/kontakt
27,Fair Affairs                            GmbH,rainer@my-fair-affair.com
28,Felidae (Europe)                            GmbH,hello@kattbjoern.de
29,Levensgaarn                              Andrea Sauer,info@levensgaarn.de
30,Reciclage                            Einzelunternehmen,info@reciclage.de
31,STAMPS                            GmbH,info@stamps.eu
32,Feelgrounds                            Ltd,info@feelgrounds.com
33,New Systems                            GmbH,service@selenacare.com
34,Souleway                            GmbH,hello@souleway.com
35,Gebrüder Haasis                            GmbH & Co. KG,admin@haasis-bodywear.de
36,Nordlicht Naturtextilien                            GmbH,mail@nordlichtstore.com
37,dayê rose                            UG (haftungsbeschränkt) & Co. KG,sermin@dayerose.com
38,Maren Jewellery                            Einzelunternehmen,helge@marenjewellery.com
39,Schwabenpower                            c/o MTS Schrode AG,team@schwabenpower.de
40,ocean-wear                            Einzelunternehmer,o.icli@ocean-wear.store
41,Trauringmanufaktur                            Einzelunternehmen,info@trauringmanufaktur.de
42,Kristin Elm                             Einzelunternehmen,info@kristinelm.com
43,greenyogashop                            GmbH,info@greenyogashop.com
